Domain,Phylum,Class,Order,Family
Eukaryota,Arthropoda,Insecta,Orthoptera,Acrididae
Eukaryota,Arthropoda,Insecta,Blattodea,Anisolabididae
Eukaryota,Arthropoda,Insecta,Blattodea,Blaberidae
Eukaryota,Arthropoda,Insecta,Blattodea,Blattidae
Eukaryota,Arthropoda,Arachnida,Scorpiones,Buthidae
Eukaryota,Arthropoda,Insecta,Blattodea,Ectobiidae
Eukaryota,Arthropoda,Insecta,Coleoptera,Elateridae
Eukaryota,Chordata,Reptilia,Squamata,Gekkonidae
Eukaryota,Arthropoda,Insecta,Odonata,Libellulidae
Eukaryota,Arthropoda,Insecta,Diptera,Limoniidae
Eukaryota,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae
Eukaryota,Arthropoda,Insecta,Orthoptera,Mogoplistidae
Eukaryota,Arthropoda,Malacostraca,Isopoda,Philosciidae
Eukaryota,Arthropoda,Insecta,Diptera,Platystomatidae
Eukaryota,Arthropoda,Arachnida,Araneae,Salticidae
Eukaryota,Arthropoda,Insecta,Hymenoptera,Xiphydriidae
Eukaryota,Arthropoda,Insecta,Hymenoptera,Formicidae
Eukaryota,Arthropoda,Malacostraca,Isopoda,Halophilosciidae
Eukaryota,Arthropoda,Arachnida,Sarcoptiformes,Suidasiidae
