ASV,ID,Level,Kingdom,Phylum,Class,Order,Family,Genus,Species,BLAST ID,blast_lev,blast_k,blast_p,blast_c,blast_o
ASV_1,Sparassidae,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,,,,,,,
ASV_100,Pholcus guadarfia,Species,Animalia,Arthropoda,Arachnida,Araneae,Pholcidae,Pholcus,Pholcus guadarfia,Araneomorphae,Infraorder,Animalia,Arthropoda,Arachnida,Araneae
ASV_105,Sparassidae,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,,,,,,,
ASV_106,Blattodea,Order,Animalia,Arthropoda,Insecta,Blattodea,,,,,,,,,
ASV_107,Tygarrup javanicus,Species,Animalia,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae,Tygarrup,Tygarrup javanicus,,,,,,
ASV_108,Anchiphiloscia pilosa,Species,Animalia,Arthropoda,Malacostraca,Isopoda,Philosciidae,Anchiphiloscia,Anchiphiloscia pilosa,,,,,,
ASV_109,Orthocladiinae,Subfamily,Animalia,Arthropoda,Insecta,Diptera,,,,Arthropoda,Phylum,Animalia,Arthropoda,,
ASV_113,Nematocera,Suborder,Animalia,Arthropoda,Insecta,Diptera,,,,,,,,,
ASV_117,Blattodea,Order,Animalia,Arthropoda,Insecta,Blattodea,,,,,,,,,
ASV_12,Hasarius adansoni,Species,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Hasarius,adansoni,,,,,,
ASV_121,Ectobiidae,Family,Animalia,Arthropoda,Insecta,Blattodea,Ectobiidae,,,unclassified Ectobiidae,,,,,
ASV_128,Bdelloidea,Class,Animalia,Rotifera,Bdelloidea,,,,,,,,,,
ASV_13,Sparassidae,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,,,,,,,
ASV_136,Sparassidae,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,,,,,,,
ASV_137,Buthus mariefranceae,Species,Animalia,Arthropoda,Arachnida,Scorpiones,Buthidae,Buthus,Buthus mariefranceae,,,,,,
ASV_138,Neoptera,Infraclass,Animalia,Arthropoda,Insecta,,,,,,,,,,
ASV_14,Sparassidae,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,,,,,,,
ASV_140,Sparassidae,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,,,,,,,
ASV_145,Lepidoptera,Order,Animalia,Arthropoda,Insecta,Lepidoptera,,,,,,,,,
ASV_147,Blattodea,Order,Animalia,Arthropoda,Insecta,Blattodea,,,,,,,,,
ASV_15,Blattodea,Order,Animalia,Arthropoda,Insecta,Blattodea,,,,,,,,,
ASV_150,Orthoptera,Order,Animalia,Arthropoda,Insecta,Orthoptera,,,,,,,,,
ASV_154,Acrididae,Family,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,,,,,,,,
ASV_155,Hemiptera,Order,Animalia,Arthropoda,Insecta,Hemiptera,,,,Hemiptera sp. BIOUG03439-H02,,,,,
ASV_156,Ornebius novarae,Species,Animalia,Arthropoda,Insecta,Orthoptera,Mogoplistidae,Ornebius,Ornebius novarae,,,,,,
ASV_159,Sparassidae,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,,,,,,,
ASV_163,Linepithema humile,Species,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Linepithema,Linepithema humile,,,,,,
ASV_166,Sparassidae,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,,,,,,,
ASV_169,Blattodea,Order,Animalia,Arthropoda,Insecta,Blattodea,,,,,,,,,
ASV_170,Littorophiloscia bifasciata,Species,Animalia,Arthropoda,Malacostraca,Isopoda,Halophilosciidae,Littorophiloscia,Littorophiloscia bifasciata,,,,,,
ASV_176,Suidasia,Genus,Animalia,Arthropoda,Arachnida,Sarcoptiformes,Suidasiidae,Suidasia,,,,,,,
ASV_177,Hemiptera,Order,Animalia,Arthropoda,Insecta,Hemiptera,,,,unclassified Hemiptera,,,,,
ASV_178,Cytaea sinuata,Species,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Cytaea,Cytaea sinuata,Cytaea cf. sinuata JXZ-2013,,,,,
ASV_18,Periplaneta,Genus,Animalia,Arthropoda,Insecta,Blattodea,Blattidae,Periplaneta,,,,,,,
